Gender,Age,Height,Weight,Duration,Heart_Rate,Calories,suitable
1,68,190,94,29,105,231,0
0,20,166,60,14,94,66,1
1,69,179,79,5,88,26,1
0,34,179,71,13,100,71,1
0,27,154,58,10,81,35,0
0,36,151,50,23,96,123,1
0,33,158,56,22,95,112,1
1,41,175,85,25,100,143,1
1,60,186,94,21,97,134,0
0,26,146,51,16,90,72,1
0,36,177,76,1,74,3,1
0,21,157,56,17,100,92,0
1,66,171,79,11,90,58,1
0,32,157,54,18,93,88,1
1,53,182,85,2,82,7,1
0,39,156,62,28,104,170,1
1,39,182,82,4,82,11,0
1,46,169,67,11,89,43,1
0,27,171,65,4,85,15,0
1,50,188,86,14,94,74,0
1,67,189,93,8,77,29,0
0,31,148,50,8,84,32,1
0,33,157,60,3,80,10,1
0,20,165,59,29,100,155,1
1,48,182,85,1,80,3,0
1,29,176,75,10,83,24,0
1,33,173,73,7,78,12,1
1,42,190,88,3,83,10,0
0,62,159,59,29,106,195,1
1,38,171,75,2,81,5,1
1,20,183,88,16,97,69,1
0,25,160,59,24,102,136,1
0,24,165,59,18,91,80,0
0,42,165,68,22,93,107,1
1,22,182,84,29,114,200,1
0,74,158,59,10,93,56,1
0,70,154,59,10,88,50,1
0,26,182,80,21,96,100,0
1,44,184,86,25,114,200,1
1,61,183,86,1,81,4,1
0,68,157,57,13,92,70,1
0,61,176,70,20,104,127,1
1,63,179,80,25,108,197,1
0,54,171,66,20,98,113,0
0,54,169,66,3,80,11,1
0,47,155,55,16,93,82,1
1,33,184,86,8,86,26,1
0,24,171,66,24,105,141,0
1,24,195,98,20,96,92,1
1,48,152,59,2,79,5,1
1,35,193,93,10,83,30,0
1,21,168,71,3,78,3,0
0,21,179,73,9,90,37,1
0,22,158,62,25,105,147,1
0,69,174,69,2,80,8,1
1,53,191,101,21,106,159,1
0,68,155,58,15,100,93,1
0,69,164,65,23,113,173,0
1,28,198,101,19,95,89,1
1,70,188,89,7,82,31,1
0,36,170,64,9,84,35,1
0,77,177,80,16,98,94,1
0,32,167,63,9,99,49,1
0,62,185,77,13,84,54,1
0,64,151,56,20,97,117,1
1,45,175,79,27,104,173,1
1,45,158,61,20,97,99,1
0,22,177,71,10,93,45,0
1,45,169,69,22,113,166,1
0,66,174,69,28,111,202,1
1,31,182,83,20,101,107,1
0,57,163,68,29,109,199,0
1,53,192,93,5,90,25,1
0,22,179,67,8,77,23,1
1,67,192,92,24,108,200,0
0,27,168,64,2,76,6,0
1,57,178,83,2,79,7,1
0,49,168,68,20,99,113,1
0,39,168,63,29,108,188,1
1,47,165,72,20,96,103,0
1,62,197,101,17,103,128,1
1,41,187,89,23,99,130,1
0,34,144,50,7,83,27,1
0,40,163,62,27,111,185,1
0,55,155,57,11,92,57,1
1,44,189,88,13,94,65,0
0,45,160,60,16,99,91,1
0,49,164,64,19,105,120,1
0,46,166,68,12,101,70,0
1,25,202,100,9,94,39,1
1,68,171,80,22,95,136,1
0,25,169,64,14,101,77,1
0,31,174,67,9,93,42,1
1,57,184,91,7,95,41,1
0,27,159,59,14,88,59,1
1,40,201,98,24,110,179,0
0,57,171,74,2,73,6,0
0,23,155,62,5,74,13,0
1,23,189,87,23,110,147,1
1,43,183,88,26,107,180,1
1,74,201,107,14,96,101,1
0,45,158,53,23,106,150,1
0,31,165,60,25,115,179,1
1,21,195,93,6,93,23,0
1,50,190,96,3,80,10,0
1,39,175,74,9,93,39,1
1,57,169,81,30,112,247,1
0,26,159,53,19,92,89,0
1,34,181,83,25,102,141,1
0,55,160,62,4,87,18,1
0,52,171,67,15,89,70,1
1,21,188,90,29,110,185,0
0,20,136,45,11,94,54,1
0,79,152,60,29,107,207,0
1,21,189,91,27,114,189,1
1,50,171,74,2,82,6,0
0,29,180,76,12,97,60,0
1,22,194,92,6,92,23,0
0,28,158,60,27,113,186,1
1,38,188,93,28,104,178,1
1,23,169,73,25,102,122,1
0,68,159,68,24,108,166,1
1,79,176,86,20,102,158,1
0,35,182,70,2,83,7,1
1,67,201,96,18,105,143,1
0,21,156,52,12,82,43,0
0,44,143,49,17,92,86,1
0,43,175,72,23,100,128,1
1,21,186,79,29,111,182,1
0,32,170,70,10,98,52,0
1,79,179,91,27,107,236,1
1,51,192,96,19,97,114,0
0,60,174,67,11,99,64,1
1,49,184,86,26,103,171,1
1,46,179,84,6,82,19,1
0,35,149,54,21,111,144,1
1,31,172,76,9,94,37,0
1,42,185,78,26,110,185,1
0,66,174,69,13,87,60,1
1,52,189,90,22,96,127,1
1,59,166,73,23,101,149,1
1,23,169,71,16,102,78,1
0,49,164,63,5,91,24,1
0,25,157,57,23,107,143,0
1,20,188,84,27,104,143,0
0,28,163,66,15,94,71,1
1,60,182,90,11,90,58,0
0,29,178,77,15,95,71,1
1,40,184,87,5,88,20,1
1,26,191,93,17,96,78,1
0,26,176,76,19,97,93,1
1,25,158,58,6,90,17,0
0,60,190,87,3,84,12,1
1,25,181,81,23,101,115,1
0,39,165,65,19,106,119,1
0,30,153,53,26,108,168,1
1,23,198,100,12,90,44,0
0,37,148,51,29,108,192,1
0,22,147,47,17,101,96,1
0,26,170,68,23,105,135,0
0,56,167,60,12,86,54,0
1,43,171,79,30,115,239,1
0,38,169,65,14,94,69,1
1,24,179,80,14,90,46,1
0,25,164,63,21,101,115,1
0,31,163,62,4,88,17,0
0,54,151,57,25,115,190,1
0,34,190,91,12,89,48,1
0,28,176,72,27,112,178,1
1,24,191,95,6,88,20,0
0,27,167,69,15,90,64,1
0,35,154,57,19,94,95,1
1,49,183,89,25,111,196,1
1,36,185,91,2,91,9,1
0,58,192,83,18,101,105,0
0,40,157,61,12,92,58,1
1,31,179,77,24,97,111,1
1,50,182,86,17,101,108,0
1,36,202,109,6,87,24,1
